Eng,French,Frequency
abide,respecter,37
about,sur,403
above,au dessus,147
abroad,ã  l'ã©tranger,63
absence,absence,55
abuse,abuser de,46
according,selon,45
accuse,accuser,38
acquainted,connaissance,39
action,action,114
advantage,avantage,72
advice,conseil,43
affairs,affaires,67
affection,affection,73
affections,affections,42
afraid,peur,41
after,aprã¨s,405
again,encore,768
alive,vivant,90
almost,presque,161
alone,seul,236
along,le long de,112
although,bien que,79
always,toujours,62
ancient,ancien,78
angel,ange,52
anger,colã¨re,54
another,un autre,430
answer,rã©pondre,380
anything,n'importe quoi,105
apparel,vãªtements,40
appear,apparaã®tre,129
appears,apparaã®t,50
ariel,ariel,91
aside,de cã´tã©,465
asleep,endormi,60
attend,assister,116
awake,ã©veillã©,77
awhile,quelque temps,102
bastard,connard,206
beard,barbe,95
bearing,palier,70
bears,ours,107
beast,la bãªte,71
beauty,beautã©,201
because,car,187
become,devenir,141
bedford,bedford,48
before,avant,835
begin,commencer,113
behind,derriã¨re,118
behold,voir,158
being,ã©tant,662
believe,croyez,233
besides,outre,108
better,mieux,594
beyond,au-delã ,59
birth,naissance,86
bitter,amer,74
black,noir,160
blame,faire des reproches,82
blest,heureux,53
blind,aveugle,80
blood,du sang,639
bodies,corps,44
bones,des os,75
bottom,bas,103
bound,liã©,175
breast,sein,97
breath,souffle,207
breed,race,49
bright,brillant,68
bring,apporter,444
broke,cassã©,85
brother,frã¨re,557
brought,apportã©,196
buried,enterrã©,57
business,entreprise,232
cannot,ne peux pas,762
captain,capitaine,170
cardinal,cardinal,144
carry,porter,87
castle,chã¢teau,104
catch,capture,69
cause,cause,337
cease,cesser,47
certain,certain,176
chain,chaã®ne,64
change,changement,155
charge,charge,200
citizen,citoyenne,186
clarence,clartã©,210
claud,claud,124
claudio,claudio,174
clifford,clifford,134
clown,pitre,350
college,universitã©,226
comes,vient,616
coming,venir,154
command,commander,171
commercial,commercial,221
common,commun,151
company,entreprise,205
complete,achevã©e,246
confess,avouer,126
conscience,conscience,122
consent,consentement,94
content,contenu,157
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,623
counsel,conseil,130
countess,comtesse,121
country,pays,138
court,tribunal,255
cousin,cousin,258
credit,crã©dit,51
crown,couronne,257
curse,malã©diction,99
daughter,fille,410
death,dã©cã¨s,858
deeds,actes,119
defend,dã©fendre,66
delight,dã©lice,56
deliver,livrer,100
depart,partir,65
desire,le dã©sir,218
devil,diable,217
didst,didst,183
discover,dã©couvrir,35
distributed,distribuã©,443
doctor,docteur,109
doubt,doute,172
dramatis,dramatis,36
earth,terre,300
either,soit,166
emilia,ã‰milie,149
endure,supporter,76
enemies,ennemis,111
enough,assez,311
enter,entrer,2098
every,chaque,491
exeter,exeter,98
exeunt,sortir,1035
faith,foi,400
falls,des chutes,81
false,faux,289
farewell,adieu,352
father,pã¨re,836
fault,faute,162
fearful,craintif,89
fellow,compagnon,309
fight,bats toi,277
finger,doigt,61
first,premiã¨re,1161
flesh,la chair,131
flourish,fleurir,133
follow,suivre,308
fools,imbã©ciles,117
forget,oublier,92
forth,en avant,369
fortune,fortune,314
found,a trouvã©,224
france,france,527
friend,ami,436
further,plus loin,190
gates,portes,101
general,gã©nã©ral,204
gentle,doux,366
given,donnã©,191
giving,donnant,58
going,aller,106
grace,la grã¢ce,576
grave,la tombe,177
great,gã©nial,899
grief,douleur,212
hands,mains,319
happy,heureux,202
heard,entendu,345
heart,cå“ur,985
heaven,paradis,615
heavy,lourd,165
hector,hector,197
highness,altesse,188
honest,honnãªte,285
hours,heures,150
house,maison,538
husband,mari,291
includes,comprend,223
indeed,en effet,437
issue,problã¨me,110
itself,lui-mãªme,240
judge,juge,88
julia,julia,145
justice,justice,238
kings,rois,284
knows,sait,213
leave,laisser,651
letter,lettre,245
liege,liege,139
light,lumiã¨re,264
little,peu,481
living,vivant,120
looks,regards,214
lords,seigneurs,497
loves,aime,286
loving,aimant,115
majesty,majestã©,256
makes,fait du,358
marcius,marcius,143
marry,marier,365
master,maã®tre,765
matter,matiã¨re,354
mercy,pitiã©,173
merry,joyeux,169
might,pourrait,496
mistress,maã®tresse,450
money,argent,182
mortal,mortel,96
mother,mã¨re,360
mouth,bouche,128
myself,moi mãªme,566
nature,la nature,344
neither,ni,185
never,jamais,1011
night,nuit,630
noble,noble,611
nothing,rien,633
office,bureau,127
often,souvent,123
opinion,opinion,83
orlando,orlando,164
other,autre,678
others,autres,449
pardon,pardon,298
paris,paris,136
paulina,paulina,84
peace,paix,534
permission,autorisation,225
personal,personnel,234
pistol,pistolet,184
please,s'il vous plaã®t,393
pleasure,plaisir,179
pompey,pompey,199
power,puissance,307
present,prã©sent,244
prince,prince,742
project,projet,249
proud,fier,203
prove,prouver,252
queen,reine,943
rather,plutã´t,321
reason,raison,281
remember,rappelles toi,189
report,rapport,146
scene,scã¨ne,795
second,seconde,572
servant,serviteur,416
shall,doit,3591
shame,la honte,302
should,devrait,1576
since,depuis,448
slain,tuã©,125
soldier,soldat,253
something,quelque chose,180
souls,ã¢mes,132
sovereign,souverain,142
speak,parler,1165
spirit,esprit,263
spoke,parlait,148
stand,supporter,567
state,etat,305
still,encore,552
stood,se tenait,93
straight,tout droit,152
strange,ã©trange,250
suffolk,suffolk,247
sweet,sucrã©,789
sword,ã©pã©e,347
their,leur,2077
there,lã ,1808
therefore,par consã©quent,626
these,celles-ci,1324
thing,chose,355
think,pense,1025
those,ceux,547
though,bien que,628
thought,pensã©e,375
through,par,261
tongue,langue,397
truth,vã©ritã©,330
uncle,oncle,195
under,sous,290
unless,sauf si,153
valentine,valentin,230
version,version,222
villain,scã©lã©rat,241
voice,voix,156
where,oã¹,1232
which,lequel,2316
within,dans,493
without,sans pour autant,364
works,travaux,251
world,monde,849
